DATE,NROU
1949-01-01,5.25505256652832
1949-04-01,5.2615156173706055
1949-07-01,5.268013
1949-10-01,5.274564
1950-01-01,5.281182
1950-04-01,5.287866
1950-07-01,5.294604
1950-10-01,5.301367
1951-01-01,5.308113
1951-04-01,5.314789
1951-07-01,5.321333408355713
1951-10-01,5.3276824951171875
1952-01-01,5.333774
1952-04-01,5.339555000000001
1952-07-01,5.344985485076903
1952-10-01,5.3500404357910165
1953-01-01,5.354712999999999
1953-04-01,5.359011650085449
1953-07-01,5.362958
1953-10-01,5.36658239364624
1954-01-01,5.369922
1954-04-01,5.373014450073241
1954-07-01,5.375902
1954-10-01,5.378623999999999
1955-01-01,5.38122
1955-04-01,5.383725
1955-07-01,5.386171
1955-10-01,5.388586
1956-01-01,5.39099645614624
1956-04-01,5.39343
1956-07-01,5.395917
1956-10-01,5.398493
1957-01-01,5.401198387145996
1957-04-01,5.404080390930176
1957-07-01,5.407184600830078
1957-10-01,5.410558
1958-01-01,5.41424036026001
1958-04-01,5.418266
1958-07-01,5.422658443450928
1958-10-01,5.427429
1959-01-01,5.432576656341553
1959-04-01,5.438085556030273
1959-07-01,5.443927
1959-10-01,5.450064
1960-01-01,5.456452369689941
1960-04-01,5.463051
1960-07-01,5.469829559326172
1960-10-01,5.47677
1961-01-01,5.483875
1961-04-01,5.4911650000000005
1961-07-01,5.498675346374512
1961-10-01,5.506455421447754
1962-01-01,5.514558999999999
1962-04-01,5.523042
1962-07-01,5.5319504737854
1962-10-01,5.5413239999999995
1963-01-01,5.551188
1963-04-01,5.561552
1963-07-01,5.572411
1963-10-01,5.583747386932373
1964-01-01,5.595527648925781
1964-04-01,5.607705999999999
1964-07-01,5.620222568511963
1964-10-01,5.633007
1965-01-01,5.645976999999999
1965-04-01,5.659044000000001
1965-07-01,5.672116
1965-10-01,5.685105
1966-01-01,5.69793
1966-04-01,5.710529
1966-07-01,5.722861
1966-10-01,5.734915
1967-01-01,5.746704
1967-04-01,5.75827
1967-07-01,5.769672
1967-10-01,5.780983999999999
1968-01-01,5.792286
1968-04-01,5.803658485412598
1968-07-01,5.815175533294678
1968-10-01,5.826905
1969-01-01,5.838901
1969-04-01,5.85120964050293
1969-07-01,5.863864
1969-10-01,5.876888
1970-01-01,5.890298366546631
1970-04-01,5.9041
1970-07-01,5.918292
1970-10-01,5.932861
1971-01-01,5.947782
1971-04-01,5.9630160000000005
1971-07-01,5.978505611419678
1971-10-01,5.994177
1972-01-01,6.00994
1972-04-01,6.02569055557251
1972-07-01,6.041316999999999
1972-10-01,6.056706
1973-01-01,6.0717453956604
1973-04-01,6.086335
1973-07-01,6.100386619567871
1973-10-01,6.11383056640625
1974-01-01,6.126616477966309
1974-04-01,6.138715
1974-07-01,6.1501145362854
1974-10-01,6.1608195304870605
1975-01-01,6.170844000000001
1975-04-01,6.180209
1975-07-01,6.188934
1975-10-01,6.197032451629639
1976-01-01,6.204509
1976-04-01,6.211358000000001
1976-07-01,6.217563
1976-10-01,6.2230989999999995
1977-01-01,6.227931
1977-04-01,6.232016563415527
1977-07-01,6.235309
1977-10-01,6.237757
1978-01-01,6.239311
1978-04-01,6.239927
1978-07-01,6.239574432373047
1978-10-01,6.238234519958496
1979-01-01,6.235909461975098
1979-04-01,6.232616999999999
1979-07-01,6.2283935546875
1979-10-01,6.22329
1980-01-01,6.217370510101318
1980-04-01,6.210709
1980-07-01,6.2033879999999995
1980-10-01,6.19549560546875
1981-01-01,6.187123000000001
1981-04-01,6.178361415863037
1981-07-01,6.169302463531494
1981-10-01,6.160031
1982-01-01,6.150627
1982-04-01,6.141159534454346
1982-07-01,6.131687
1982-10-01,6.122254
1983-01-01,6.112889
1983-04-01,6.103606
1983-07-01,6.094400405883789
1983-10-01,6.085254
1984-01-01,6.076131
1984-04-01,6.066982
1984-07-01,6.057761
1984-10-01,6.048421382904053
1985-01-01,6.0389029999999995
1985-04-01,6.029139518737793
1985-07-01,6.019057
1985-10-01,6.008578
1986-01-01,5.997622
1986-04-01,5.98611
1986-07-01,5.973967552185058
1986-10-01,5.961125373840332
1987-01-01,5.947525501251221
1987-04-01,5.9331254959106445
1987-07-01,5.917901515960693
1987-10-01,5.901855
1988-01-01,5.885015
1988-04-01,5.86744
1988-07-01,5.8492169999999994
1988-10-01,5.8304524421691895
1989-01-01,5.811267375946045
1989-04-01,5.791787
1989-07-01,5.772135
1989-10-01,5.7524285316467285
1990-01-01,5.7327650000000006
1990-04-01,5.713230609893799
1990-07-01,5.693902492523193
1990-10-01,5.674851417541504
1991-01-01,5.6561455726623535
1991-04-01,5.6378379999999995
1991-07-01,5.619961
1991-10-01,5.6025339999999995
1992-01-01,5.58557653427124
1992-04-01,5.569083999999999
1992-07-01,5.553058999999999
1992-10-01,5.537511
1993-01-01,5.522455
1993-04-01,5.507904529571533
1993-07-01,5.4938645362854
1993-10-01,5.48034143447876
1994-01-01,5.467338562011719
1994-04-01,5.454845
1994-07-01,5.442838
1994-10-01,5.431291000000001
1995-01-01,5.420172
1995-04-01,5.409451484680176
1995-07-01,5.399091
1995-10-01,5.38905
1996-01-01,5.379276
1996-04-01,5.369709491729736
1996-07-01,5.360292434692383
1996-10-01,5.350973606109619
1997-01-01,5.341696
1997-04-01,5.332409381866455
1997-07-01,5.323080539703369
1997-10-01,5.31369
1998-01-01,5.304222
1998-04-01,5.294664
1998-07-01,5.285001
1998-10-01,5.275233
1999-01-01,5.265363
1999-04-01,5.255394458770752
1999-07-01,5.245333671569824
1999-10-01,5.235184669494629
2000-01-01,5.224948
2000-04-01,5.214622
2000-07-01,5.204211
